City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
0,Hilo,US,2021-04-04 16:58:43,19.7297,-155.09,68.0,83,90,5.75,overcast clouds
1,Port Alfred,ZA,2021-04-04 16:58:43,-33.5906,26.891,67.17,83,0,11.56,clear sky
2,Karpinsk,RU,2021-04-04 16:58:44,59.7654,60.0085,33.46,99,100,3.49,overcast clouds
3,Avarua,CK,2021-04-04 16:56:07,-21.2078,-159.775,80.6,83,40,13.8,scattered clouds
4,Severo-Kurilsk,RU,2021-04-04 16:58:44,50.6789,156.125,28.71,81,85,13.42,overcast clouds
5,Rikitea,PF,2021-04-04 16:58:45,-23.1203,-134.9692,76.77,70,26,14.7,light rain
6,Fort Nelson,CA,2021-04-04 16:57:52,58.8053,-122.7002,39.2,33,1,14.97,clear sky
7,Taoudenni,ML,2021-04-04 16:57:46,22.6783,-3.9836,99.61,9,15,17.94,few clouds
8,Tazovskiy,RU,2021-04-04 16:58:45,67.4667,78.7,29.39,97,100,9.33,light snow
9,Husavik,IS,2021-04-04 16:58:45,66.0449,-17.3389,14.0,85,90,26.46,snow
10,Komsomolskiy,UZ,2021-04-04 16:58:46,40.4272,71.7189,48.2,93,75,4.61,broken clouds
11,Guerrero Negro,MX,2021-04-04 16:58:46,27.9769,-114.0611,66.18,65,2,12.73,clear sky
12,Karacabey,TR,2021-04-04 16:58:46,40.2152,28.4038,51.8,87,75,21.85,broken clouds
13,Itacare,BR,2021-04-04 16:58:47,-14.2775,-38.9967,84.2,79,40,12.66,scattered clouds
14,Ushuaia,AR,2021-04-04 16:58:47,-54.8,-68.3,44.6,65,20,8.05,few clouds
15,Deer Lake,CA,2021-04-04 16:58:47,49.1667,-57.4316,50.0,71,75,17.27,broken clouds
16,Longyearbyen,SJ,2021-04-04 16:58:48,78.2186,15.6401,24.8,68,75,31.07,snow
17,Barrow,US,2021-04-04 16:58:48,71.2906,-156.7887,-11.2,70,1,13.8,clear sky
18,Revda,RU,2021-04-04 16:58:48,56.801,59.9303,37.4,81,75,6.71,broken clouds
