City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kavieng,PG,2021-04-02 21:39:08,-2.5744,150.7967,84.0,76,99,9.89
1,Clyde River,CA,2021-04-02 21:37:16,70.4692,-68.5914,-7.6,71,1,10.36
2,Hofn,IS,2021-04-02 21:39:09,64.2539,-15.2082,43.47,59,2,8.61
3,Sinnamary,GF,2021-04-02 21:39:09,5.3833,-52.95,75.24,93,100,8.41
4,Nikolskoye,RU,2021-04-02 21:39:10,59.7035,30.7861,36.0,93,0,3.27
5,Punta Arenas,CL,2021-04-02 21:39:10,-53.15,-70.9167,48.2,76,100,4.61
6,Castro,BR,2021-04-02 21:35:05,-24.7911,-50.0119,59.4,80,5,3.24
7,Alofi,NU,2021-04-02 21:39:10,-19.0595,-169.9187,84.2,70,38,9.22
8,Katsuura,JP,2021-04-02 21:39:11,35.1333,140.3,59.0,72,20,4.61
9,Xining,CN,2021-04-02 21:39:11,36.6167,101.7667,30.2,93,100,2.98
10,Mataura,NZ,2021-04-02 21:39:11,-46.1927,168.8643,46.99,84,85,5.01
11,Caravelas,BR,2021-04-02 21:39:12,-17.7125,-39.2481,77.49,82,37,6.22
12,Carnarvon,AU,2021-04-02 21:39:12,-24.8667,113.6333,77.0,94,33,10.36
13,Saint Anthony,US,2021-04-02 21:39:12,45.0205,-93.218,61.0,21,1,24.16
14,Bluff,NZ,2021-04-02 21:39:13,-46.6,168.3333,46.99,84,92,5.01
15,Cabo San Lucas,MX,2021-04-02 21:39:13,22.8909,-109.9124,88.0,29,75,2.3
16,Pacific Grove,US,2021-04-02 21:39:13,36.6177,-121.9166,59.0,63,1,8.05
17,Pisco,PE,2021-04-02 21:34:38,-13.7,-76.2167,75.2,69,0,8.05
18,Mahebourg,MU,2021-04-02 21:39:14,-20.4081,57.7,75.2,100,40,3.44
19,Georgetown,MY,2021-04-02 21:39:14,5.4112,100.3354,82.4,94,20,3.44
20,Upernavik,GL,2021-04-02 21:39:14,72.7868,-56.1549,-13.85,96,100,9.89
21,Cerrito,CO,2021-04-02 21:39:15,6.8432,-72.694,73.4,83,75,6.91
22,Albany,US,2021-04-02 21:39:15,42.6001,-73.9662,37.0,27,100,1.99
23,Cape Town,ZA,2021-04-02 21:35:09,-33.9258,18.4232,64.0,67,0,6.91
24,Vostok,RU,2021-04-02 21:39:16,46.4856,135.8833,34.56,96,100,7.74
25,Pizarro,CO,2021-04-02 21:39:16,4.9533,-77.366,81.18,79,98,6.08
26,Qandala,SO,2021-04-02 21:39:16,11.472,49.8728,79.86,56,6,3.09
27,Norman Wells,CA,2021-04-02 21:39:17,65.282,-126.8329,5.0,66,75,2.3
28,Ushuaia,AR,2021-04-02 21:39:17,-54.8,-68.3,51.8,62,75,16.11
29,Longyearbyen,SJ,2021-04-02 21:39:09,78.2186,15.6401,21.2,73,75,12.66
30,Walvis Bay,NA,2021-04-02 21:39:17,-22.9575,14.5053,66.2,72,18,10.36
31,Dikson,RU,2021-04-02 21:39:18,73.5069,80.5464,-17.95,84,92,4.88
32,Yellowknife,CA,2021-04-02 21:39:18,62.456,-114.3525,8.01,78,90,6.91
33,Tura,IN,2021-04-02 21:39:19,25.5198,90.2201,70.57,48,0,4.94
34,Pontes E Lacerda,BR,2021-04-02 21:39:19,-15.2261,-59.3353,74.62,91,100,1.05
35,Yining,CN,2021-04-02 21:39:20,29.0361,114.5636,56.77,94,100,3.4
36,Kamenka,RU,2021-04-02 21:39:20,51.3223,42.7678,42.01,67,57,9.35
37,Tayu,ID,2021-04-02 21:39:20,-6.5397,111.0518,77.05,90,36,4.47
38,Kapaa,US,2021-04-02 21:39:21,22.0752,-159.319,78.8,65,40,11.5
39,Mount Gambier,AU,2021-04-02 21:39:21,-37.8333,140.7667,60.8,51,0,12.66
40,Haimen,CN,2021-04-02 21:39:21,23.1935,116.6142,77.0,83,40,2.35
41,Vaini,TO,2021-04-02 21:39:22,-21.2,-175.2,80.6,89,75,3.44
42,San Cristobal,VE,2021-04-02 21:39:22,7.7669,-72.225,84.2,54,75,13.8
43,Coihaique,CL,2021-04-02 21:39:22,-45.5752,-72.0662,62.6,51,75,6.91
44,Wanaka,NZ,2021-04-02 21:39:23,-44.7,169.15,53.74,56,37,5.3
45,Busselton,AU,2021-04-02 21:39:23,-33.65,115.3333,63.0,83,100,1.01
