City_ID,City,Country,Max Temp,Forecast,Lat,Lng,Hotel Name
0,Mahebourg,MU,80.01,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1,Atuona,PF,80.56,broken clouds,-9.8,-139.0333,Villa Enata
2,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
4,Kudahuvadhoo,MV,83.28,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
13,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Rikitea,PF,77.79,broken clouds,-23.1203,-134.9692,Pension Maro'i
26,Luanda,AO,78.8,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
27,Alofi,NU,82.4,moderate rain,-19.0595,-169.9187,Taloa Heights
28,Hadejia,NG,80.38,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
44,Sur,OM,83.32,clear sky,22.5667,59.5289,Sur Plaza Hotel
46,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
50,Kothapet,IN,84.49,clear sky,19.3333,79.4833,Andhavelly Village
54,Kapaa,US,78.8,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
55,San Patricio,US,80.6,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Arlit,NE,78.94,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
59,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
61,Hithadhoo,MV,83.05,broken clouds,-0.6,73.0833,Scoop Guest House
63,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
64,Dwarka,IN,79.07,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
67,Champerico,GT,89.6,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
68,Bandarbeyla,SO,77.27,broken clouds,9.4942,50.8122,JABIR HOTEL
70,Labuhan,ID,77.61,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
72,Kabo,CF,81.75,few clouds,7.6994,18.629,
73,Butaritari,KI,82.35,broken clouds,3.0707,172.7902,Isles Sunset Lodge
74,Rafaela,AR,75.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
75,Sao Joao Da Barra,BR,78.8,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
80,Praya,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
83,Muisne,EC,77.0,overcast clouds,0.6,-80.0333,Quinta Samay
84,Lorengau,PG,81.34,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
89,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
93,Noumea,NC,82.4,clear sky,-22.2763,166.4572,Hôtel Le Lagon
95,Hun,LY,75.49,broken clouds,29.1268,15.9477,Alrwasi Hotel
106,Pierre,US,84.99,clear sky,44.3683,-100.351,Ramkota Hotel
107,Carnarvon,AU,75.2,few clouds,-24.8667,113.6333,Hospitality Carnarvon
111,Faanui,PF,82.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
117,Arraial Do Cabo,BR,77.0,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
119,Bethlehem,BR,75.2,heavy intensity rain,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
125,Pinos,MX,75.2,clear sky,22.3,-101.5667,Hotel El Meson Del Conde
126,Honiara,SB,86.11,scattered clouds,-9.4333,159.95,Heritage Park Hotel
127,Ambon,ID,78.8,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
132,Georgetown,MY,82.99,few clouds,5.4112,100.3354,Cititel Penang
135,Srandakan,ID,76.46,heavy intensity rain,-7.9386,110.2506,Puri Brata
141,Kahului,US,75.2,light rain,20.8947,-156.47,Maui Seaside Hotel
142,Dingle,PH,77.94,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
143,Yarada,IN,80.02,few clouds,17.65,83.2667,Jeevan
145,Coahuayana,MX,84.2,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
147,Isangel,VU,80.6,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
149,Karratha,AU,81.66,clear sky,-20.7377,116.8463,ibis Styles Karratha
153,Rawson,AR,80.31,clear sky,-43.3002,-65.1023,Hosteria Sampedro
154,Pisco,PE,77.0,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
