City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Forecast
0,Mahebourg,MU,2021-04-04 22:38:20,-20.4081,57.7,80.01,77,35,8.01,light rain
1,Atuona,PF,2021-04-04 22:38:20,-9.8,-139.0333,80.56,79,75,8.84,broken clouds
2,Saint-Pierre,RE,2021-04-04 22:33:29,-21.3393,55.4781,77.0,78,0,5.75,clear sky
3,Campbellsville,US,2021-04-04 22:38:21,37.3434,-85.3419,69.8,30,1,6.91,clear sky
4,Kudahuvadhoo,MV,2021-04-04 22:38:21,2.6708,72.8944,83.28,75,7,14.16,clear sky
5,Victoria,HK,2021-04-04 22:34:34,22.2855,114.1577,72.0,89,100,1.01,overcast clouds
6,Yar-Sale,RU,2021-04-04 22:38:21,66.8333,70.8333,32.31,99,100,7.25,light snow
7,Bluff,NZ,2021-04-04 22:38:22,-46.6,168.3333,55.0,79,93,20.0,overcast clouds
8,Ostrovnoy,RU,2021-04-04 22:38:22,68.0531,39.5131,33.42,91,100,16.62,overcast clouds
9,Abu Samrah,SY,2021-04-04 22:38:23,35.3029,37.1841,50.52,77,0,4.25,clear sky
10,Hamilton,US,2021-04-04 22:38:08,39.1834,-84.5333,73.4,33,1,4.61,clear sky
11,Albany,US,2021-04-04 22:38:23,42.6001,-73.9662,57.99,46,42,1.99,scattered clouds
12,Punta Arenas,CL,2021-04-04 22:38:23,-53.15,-70.9167,44.6,65,0,23.02,clear sky
13,Vaini,TO,2021-04-04 22:38:24,-21.2,-175.2,78.8,83,20,14.97,few clouds
14,Katsuura,JP,2021-04-04 22:38:24,35.1333,140.3,64.4,100,75,2.3,broken clouds
15,Lagoa,PT,2021-04-04 22:38:25,39.05,-27.9833,60.01,83,86,15.75,overcast clouds
16,Mar Del Plata,AR,2021-04-04 22:38:25,-38.0023,-57.5575,69.01,94,40,11.5,scattered clouds
17,Rikitea,PF,2021-04-04 22:38:25,-23.1203,-134.9692,77.79,66,51,18.3,broken clouds
18,Tiksi,RU,2021-04-04 22:38:26,71.6872,128.8694,-13.07,99,100,3.83,overcast clouds
